Ticker,Industry_ICB_L2
AAS,Dịch vụ tài chính
ABB,Ngân hàng
ABW,Dịch vụ tài chính
ACB,Ngân hàng
AGR,Dịch vụ tài chính
APG,Dịch vụ tài chính
APS,Dịch vụ tài chính
BCG,Dịch vụ tài chính
BID,Ngân hàng
BMS,Dịch vụ tài chính
BSI,Dịch vụ tài chính
BVB,Ngân hàng
BVS,Dịch vụ tài chính
CTG,Ngân hàng
CTS,Dịch vụ tài chính
DSC,Dịch vụ tài chính
DSE,Dịch vụ tài chính
EIB,Ngân hàng
EVF,Dịch vụ tài chính
EVS,Dịch vụ tài chính
FTS,Dịch vụ tài chính
HCM,Dịch vụ tài chính
HDB,Ngân hàng
HVA,Dịch vụ tài chính
IVS,Dịch vụ tài chính
KLB,Ngân hàng
LPB,Ngân hàng
MBB,Ngân hàng
MBS,Dịch vụ tài chính
MSB,Ngân hàng
NAB,Ngân hàng
NVB,Ngân hàng
OCB,Ngân hàng
OGC,Dịch vụ tài chính
ORS,Dịch vụ tài chính
PGB,Ngân hàng
PSI,Dịch vụ tài chính
SBS,Dịch vụ tài chính
SHB,Ngân hàng
SHS,Dịch vụ tài chính
SSB,Ngân hàng
SSI,Dịch vụ tài chính
STB,Ngân hàng
TCB,Ngân hàng
TCI,Dịch vụ tài chính
TPB,Ngân hàng
TVB,Dịch vụ tài chính
TVC,Dịch vụ tài chính
TVS,Dịch vụ tài chính
VBB,Ngân hàng
VCB,Ngân hàng
VCI,Dịch vụ tài chính
VDS,Dịch vụ tài chính
VFS,Dịch vụ tài chính
VIB,Ngân hàng
VIG,Dịch vụ tài chính
VIX,Dịch vụ tài chính
VND,Dịch vụ tài chính
VPB,Ngân hàng
VUA,Dịch vụ tài chính
WSS,Dịch vụ tài chính
