Ticker,Industry_ICB_L2
AAA,Hóa chất
AAH,Tài nguyên Cơ bản
AAV,Bất động sản
ABI,Bảo hiểm
ABS,Hóa chất
ABT,Thực phẩm và đồ uống
ACG,Tài nguyên Cơ bản
ACV,Hàng & Dịch vụ Công nghiệp
ADS,Hàng cá nhân & Gia dụng
AFX,Bán lẻ
AGG,Bất động sản
AMS,Hàng & Dịch vụ Công nghiệp
ANT,Thực phẩm và đồ uống
ANV,Thực phẩm và đồ uống
APF,Thực phẩm và đồ uống
APH,Hàng & Dịch vụ Công nghiệp
API,Bất động sản
ASM,Thực phẩm và đồ uống
AST,Bán lẻ
AVG,Hóa chất
BAF,Thực phẩm và đồ uống
BCC,Xây dựng và Vật liệu
BCE,Xây dựng và Vật liệu
BCM,Bất động sản
BCR,Xây dựng và Vật liệu
BFC,Hóa chất
BGE,"Điện, nước & xăng dầu khí đốt"
BIC,Bảo hiểm
BKC,Tài nguyên Cơ bản
BMC,Tài nguyên Cơ bản
BMI,Bảo hiểm
BMJ,Tài nguyên Cơ bản
BMP,Xây dựng và Vật liệu
BNA,Thực phẩm và đồ uống
BOT,Xây dựng và Vật liệu
BSR,Dầu khí
BVH,Bảo hiểm
BWE,"Điện, nước & xăng dầu khí đốt"
C47,Xây dựng và Vật liệu
C4G,Xây dựng và Vật liệu
C69,Xây dựng và Vật liệu
CCL,Bất động sản
CDC,Xây dựng và Vật liệu
CEO,Bất động sản
CHP,"Điện, nước & xăng dầu khí đốt"
CIG,Xây dựng và Vật liệu
CII,Xây dựng và Vật liệu
CKA,Hàng & Dịch vụ Công nghiệp
CKG,Bất động sản
CLL,Hàng & Dịch vụ Công nghiệp
CLX,Thực phẩm và đồ uống
CMG,Công nghệ Thông tin
CMS,Xây dựng và Vật liệu
CMX,Thực phẩm và đồ uống
CNG,"Điện, nước & xăng dầu khí đốt"
CRC,Xây dựng và Vật liệu
CRE,Bất động sản
CSC,Xây dựng và Vật liệu
CSM,Ô tô và phụ tùng
CST,Tài nguyên Cơ bản
CSV,Hóa chất
CTD,Xây dựng và Vật liệu
CTF,Ô tô và phụ tùng
CTI,Xây dựng và Vật liệu
CTP,Thực phẩm và đồ uống
CTR,Xây dựng và Vật liệu
CTX,Xây dựng và Vật liệu
D2D,Bất động sản
DAH,Du lịch và Giải trí
DBC,Thực phẩm và đồ uống
DBD,Y tế
DC4,Xây dựng và Vật liệu
DCL,Y tế
DCM,Hóa chất
DDG,"Điện, nước & xăng dầu khí đốt"
DDV,Hóa chất
DFF,Xây dựng và Vật liệu
DGC,Hóa chất
DGT,Xây dựng và Vật liệu
DGW,Bán lẻ
DHA,Xây dựng và Vật liệu
DHC,Tài nguyên Cơ bản
DHG,Y tế
DHT,Bán lẻ
DIG,Bất động sản
DL1,Hàng & Dịch vụ Công nghiệp
DLG,Xây dựng và Vật liệu
DNP,Xây dựng và Vật liệu
DPG,Xây dựng và Vật liệu
DPM,Hóa chất
DPR,Hóa chất
DRC,Ô tô và phụ tùng
DRH,Bất động sản
DRI,Hóa chất
DSH,Xây dựng và Vật liệu
DSN,Du lịch và Giải trí
DTD,Bất động sản
DVM,Y tế
DVN,Y tế
DVP,Hàng & Dịch vụ Công nghiệp
DXG,Bất động sản
DXP,Hàng & Dịch vụ Công nghiệp
DXS,Bất động sản
ECO,Hóa chất
ELC,Công nghệ Thông tin
EVE,Hàng cá nhân & Gia dụng
EVG,Xây dựng và Vật liệu
FCM,Xây dựng và Vật liệu
FCN,Xây dựng và Vật liệu
FIR,Bất động sản
